year,mean
1750,277
1755,277.2
1760,277.6
1765,278
1770,278.6
1775,279.3
1780,280.1
1785,280.8
1790,281.6
1795,282.3
1800,282.9
1805,283.4
1810,283.8
1815,284
1820,284.2
1825,284.3
1830,284.4
1835,284.5
1840,284.6
1845,284.8
1850,285.2
1855,285.7
1860,286.3
1865,287.2
1870,288.2
1875,289.4
1880,290.8
1885,292.3
1890,293.7
1895,295.2
1900,296.7
1905,298.2
1910,299.9
1915,301.5
1920,303.2
1925,304.9
1930,306.5
1935,308
1940,309.3
1945,310.5
1950,312
1955,314.1
1959,315.98
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.19
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.76
1981,340.12
1982,341.48
1983,343.15
1984,344.87
1985,346.35
1986,347.61
1987,349.31
1988,351.69
1989,353.2
1990,354.45
1991,355.7
1992,356.54
1993,357.21
1994,358.96
1995,360.97
1996,362.74
1997,363.88
1998,366.84
1999,368.54
2000,369.71
